Sentiment,Rank,Word,Weight
Negative,1,bad,2.255
Negative,2,worst,1.8657
Negative,3,stupid,1.7661
Negative,4,dull,1.6948
Negative,5,flat,1.6414
Negative,6,pretentious,1.4619
Negative,7,fails,1.4093
Negative,8,nothing,1.3958
Negative,9,devoid,1.3943
Negative,10,mess,1.3839
Negative,11,lacking,1.3773
Negative,12,idea,1.3579
Negative,13,feels,1.3256
Negative,14,none,1.2722
Negative,15,lousy,1.2532
Neutral,1,meaning,1.2572
Neutral,2,mildly,1.1993
Neutral,3,potential,1.1519
Neutral,4,yet,1.1498
Neutral,5,gag,1.1262
Neutral,6,stand,1.1015
Neutral,7,nostalgia,1.0879
Neutral,8,crimes,1.0619
Neutral,9,foreign,1.0111
Neutral,10,ai,0.9881
Neutral,11,matter,0.9735
Neutral,12,though,0.9637
Neutral,13,want,0.9432
Neutral,14,reno,0.9397
Neutral,15,men,0.9364
Positive,1,fun,1.9996
Positive,2,entertaining,1.8982
Positive,3,solid,1.8245
Positive,4,beautifully,1.7753
Positive,5,wonderful,1.7212
Positive,6,best,1.7193
Positive,7,heart,1.7119
Positive,8,remarkable,1.7033
Positive,9,works,1.684
Positive,10,performances,1.63
Positive,11,enjoyable,1.6281
Positive,12,love,1.6099
Positive,13,refreshing,1.5443
Positive,14,powerful,1.5175
Positive,15,fascinating,1.5115
